,lemmatized_cbow_win2_dim100,lemmatized_cbow_win2_dim300,lemmatized_cbow_win4_dim100,lemmatized_cbow_win4_dim300,lemmatized_skipgram_win2_dim100,lemmatized_skipgram_win2_dim300,lemmatized_skipgram_win4_dim100,lemmatized_skipgram_win4_dim300,stemmed_cbow_win2_dim100,stemmed_cbow_win2_dim300,stemmed_cbow_win4_dim100,stemmed_cbow_win4_dim300,stemmed_skipgram_win2_dim100,stemmed_skipgram_win2_dim300,stemmed_skipgram_win4_dim100,stemmed_skipgram_win4_dim300
lemmatized_cbow_win2_dim100,1.0,0.4668892889320694,0.466843494630195,0.4668360077783219,0.46687247411225696,0.4668819019311502,0.46690645019089955,0.46690104984685954,0.466847896788081,0.46683731505888865,0.46684402982991635,0.4669815457497298,0.46691125150360296,0.4668618311024103,0.4668667647541431,0.46686835414868416
lemmatized_cbow_win2_dim300,0.4668892889320694,1.0,0.4667456519485045,0.4667381430034206,0.4667747169471252,0.46678417258689625,0.4668087932869567,0.4668033770068542,0.46675006709687084,0.4667394541416868,0.46674618872756535,0.46688411044787603,0.46681360876802025,0.4667640425304517,0.4667689907410685,0.466770584825809
lemmatized_cbow_win4_dim100,0.466843494630195,0.4667456519485045,1.0,0.46669213965673684,0.46672876418462295,0.46673823290216876,0.46676288765428475,0.4667574638831088,0.46670408024199644,0.46669345260839395,0.4667001965086498,0.46683830898381573,0.4667677097954769,0.4667180750045256,0.46672303005884475,0.4667246263483098
lemmatized_cbow_win4_dim300,0.4668360077783219,0.4667381430034206,0.46669213965673684,1.0,0.4667212514262244,0.4667307222818389,0.4667553826010819,0.46674995760519994,0.46669656190987957,0.4666859318765212,0.4666926772995727,0.46683082096100603,0.4667602058311299,0.4667105598324738,0.4667155160056611,0.46671711265557375
lemmatized_skipgram_win2_dim100,0.46687247411225696,0.4667747169471252,0.46672876418462295,0.4667212514262244,1.0,0.46676730438519176,0.4667919375885366,0.4667865185578506,0.46673318157516175,0.4667225632303342,0.46672930123627965,0.46686729299824153,0.46679675551507605,0.46674716410597455,0.4667521148294721,0.4667537097237467
lemmatized_skipgram_win2_dim300,0.4668819019311502,0.46678417258689625,0.46673823290216876,0.4667307222818389,0.46676730438519176,1.0,0.46680138832745605,0.46679597083898117,0.4667426490355549,0.4667320337126202,0.46673876980098505,0.4668767222916369,0.4668062048828536,0.4667566275870555,0.4667615769016183,0.46676317134199913
lemmatized_skipgram_win4_dim100,0.46690645019089955,0.4668087932869567,0.46676288765428475,0.4667553826010819,0.4667919375885366,0.46680138832745605,1.0,0.46682058279377625,0.4667673005142827,0.4667566930597861,0.46676342415513333,0.46690127439071105,0.46683080925182757,0.46678126870440595,0.46678621435036854,0.466787807608896
lemmatized_skipgram_win4_dim300,0.46690104984685954,0.4668033770068542,0.4667574638831088,0.46674995760519994,0.4667865185578506,0.46679597083898117,0.46682058279377625,1.0,0.4667618774632158,0.4667512682777503,0.4667580004715059,0.4668958732020623,0.4668253965643824,0.4667758479327267,0.46678079438574055,0.46678238790426263
stemmed_cbow_win2_dim100,0.466847896788081,0.46675006709687084,0.46670408024199644,0.46669656190987957,0.46673318157516175,0.4667426490355549,0.4667673005142827,0.4667618774632158,1.0,0.4666978746872173,0.466704617692092,0.46684271183019505,0.4667721220152437,0.46672249381425673,0.466727448210698,0.46672904428822526
stemmed_cbow_win2_dim300,0.46683731505888865,0.4667394541416868,0.46669345260839395,0.4666859318765212,0.4667225632303342,0.4667320337126202,0.4667566930597861,0.4667512682777503,0.4666978746872173,1.0,0.46669399023003666,0.4668321284460302,0.4667615160997088,0.46671187205803205,0.46671682803585357,0.4667184246228284
stemmed_cbow_win4_dim100,0.46684402982991635,0.46674618872756535,0.4667001965086498,0.4666926772995727,0.46672930123627965,0.46673876980098505,0.46676342415513333,0.4667580004715059,0.466704617692092,0.46669399023003666,1.0,0.46683884426724187,0.46676824621848834,0.466718612228723,0.4667235672030595,0.4667251634667579
stemmed_cbow_win4_dim300,0.4669815457497298,0.46688411044787603,0.46683830898381573,0.46683082096100603,0.46686729299824153,0.4668767222916369,0.46690127439071105,0.4668958732020623,0.46684271183019505,0.4668321284460302,0.46683884426724187,1.0,0.46690607645433524,0.4668566483238381,0.4668615827471894,0.4668631723903103
stemmed_skipgram_win2_dim100,0.46691125150360296,0.46681360876802025,0.4667677097954769,0.4667602058311299,0.46679675551507605,0.4668062048828536,0.46683080925182757,0.4668253965643824,0.4667721220152437,0.4667615160997088,0.46676824621848834,0.46690607645433524,1.0,0.46678608817881945,0.4667910331072528,0.46679262613462547
stemmed_skipgram_win2_dim300,0.4668618311024103,0.4667640425304517,0.4667180750045256,0.4667105598324738,0.46674716410597455,0.4667566275870555,0.46678126870440595,0.4667758479327267,0.46672249381425673,0.46671187205803205,0.466718612228723,0.4668566483238381,0.46678608817881945,1.0,0.4667414331513278,0.4667430285580003
stemmed_skipgram_win4_dim100,0.4668667647541431,0.4667689907410685,0.46672303005884475,0.4667155160056611,0.4667521148294721,0.4667615769016183,0.46678621435036854,0.46678079438574055,0.466727448210698,0.46671682803585357,0.4667235672030595,0.4668615827471894,0.4667910331072528,0.4667414331513278,1.0,0.46674797989720346
stemmed_skipgram_win4_dim300,0.46686835414868416,0.466770584825809,0.4667246263483098,0.46671711265557375,0.4667537097237467,0.46676317134199913,0.466787807608896,0.46678238790426263,0.46672904428822526,0.4667184246228284,0.4667251634667579,0.4668631723903103,0.46679262613462547,0.4667430285580003,0.46674797989720346,1.0
