top5_scores,average_score,model_name,top5_texts
"0.41246, 0.35195, 0.33645, 0.3247, 0.32136",0.34938,lemmatized_cbow_win2_dim100,main potassium chloride potassium chloride potassium chloride meq pkt meq pkt po | main nystatin oral suspension nystatin oral suspension nystatin oral suspension unit udcup ml udcup po | main chlorhexidine gluconate oral rinse chlorhexidine gluconate oral rinse chlorhexidine gluconate ml cup ml udcup oral | base sodium chloride ml bag ml ml iv | main morphine sr m contin morphine sr m contin morphine sr m contin mg tab mg tab po
"0.23032, 0.21244, 0.20879, 0.20863, 0.19109",0.21025,lemmatized_cbow_win2_dim300,main lactulose lactulose lactulose gml cup ml udcup ng | main calcium carbonate calcium carbonate calcium carbonate tum mg tablet mg tab po | main gabapentin gabapentin gabapentin liquid conc mg ml mg ml pong | main atorvastatin atorvastatin atorvastatin mg tablet mg tab po | main latanoprost ophth soln latanoprost ophth soln latanoprost ophth soln ml dropper bottle drop dbtl ou
"0.35628, 0.35559, 0.33725, 0.33613, 0.33147",0.34334,lemmatized_cbow_win4_dim100,main sodium bicarbonate meq vial meq vial iv | main senna senna senna ml oral syringe ml syr ng | main acetaminophen acetaminophen acetaminophen liquid mg ud cup mg udcup po | main lorazepam lorazepam lorazepam mgml syringe mg ml iv | main piperacillintazobactam na g frozen bag g bag iv
"0.20503, 0.19956, 0.19703, 0.19573, 0.19159",0.19779,lemmatized_cbow_win4_dim300,main insulin insulin insulin sliding scale dummy package for sliding scale unit vial sc | main diphenhydramine hcl diphenhydramine hcl diphenhydramine hcl mg cap mg cap po | main vasopressin uml vial unit ml iv drip | main normocarb ml vial ml vial iv | main warfarin warfarin warfarin mg tablet mg tab po
"0.37658, 0.35155, 0.34291, 0.32998, 0.3285",0.3459,lemmatized_skipgram_win2_dim100,main sodium chloride flush sodium chloride flush sodium chloride flush syringe ml syr iv | main trazodone trazodone trazodone mg tablet mg tab po | main docusate sodium docusate sodium docusate sodium mg capsule mg cap po | main ampicillin sodium g vial gm vial iv | main olanzapine olanzapine olanzapine mg tablet mg tab po
"0.22199, 0.22013, 0.2034, 0.1978, 0.19379",0.20742,lemmatized_skipgram_win2_dim300,main acetaminophen acetaminophen acetaminophen mg tablet mg tab po | main senna senna senna tablet tab tab po | main nitroprusside sodium mgmlml mg ml iv drip | main metolazone metolazone metolazone mg tab mg tab po | base dextrose ml bag ml ml iv
"0.38616, 0.33848, 0.32977, 0.32867, 0.32368",0.34135,lemmatized_skipgram_win4_dim100,main phenylephrine mgml vial mg vial iv drip | main insulin insulin insulin sliding scale dummy package for sliding scale unit vial sc | main glucagon glucagon glucagon mg vial mg vial im | main docusate sodium docusate sodium docusate sodium mg cap mg cap po | main prednisone prednisone prednisone mg tablet mg tab po
"0.22265, 0.21473, 0.19398, 0.19348, 0.19002",0.20297,lemmatized_skipgram_win4_dim300,main heparin heparin heparin sodium unit ml ml vial unit ml sc | main metronidazole mg premix bag mg bag iv | base n ml bab ml ml iv | main levofloxacin mg premix bag mg bag iv | main prednisone prednisone prednisone mg tab mg tab po
"0.37738, 0.36163, 0.35115, 0.34557, 0.34478",0.3561,stemmed_cbow_win2_dim100,main oxycodon immedi releas oxycodon immedi releas oxycodon immedi releas mg tablet mg tab po | main artifici tear preserv free artifici tear preserv free artifici tear preserv free ml ud drop drp both eye | main magnesium sulfat g ml premix bag gm bag iv | base dextros ml bag ml ml iv | main dexamethason sod phosphat mgml ml vial mg ml iv
"0.20461, 0.20232, 0.19617, 0.19323, 0.193",0.19787,stemmed_cbow_win2_dim300,main morphin sulfat morphin sulfat morphin sulfat syring mg syring mg syr iv | main heparin sodium unit premix bag unit bag iv | main methylprednisolon sodium succ methylprednisolon sodium succ methylprednisolon sodium succ mg vial mg vial iv | addit sodium bicarbon meq vial meq vial iv | main diazepam diazepam diazepam mg tab mg tab po
